Year,Station Code,Region,Garda Station,Value
2019,63105,Skerries, D.M.R. Northern Division,13
2019,63105,Skerries, D.M.R. Northern Division,2
2019,63105,Skerries, D.M.R. Northern Division,32
2019,63105,Skerries, D.M.R. Northern Division,24
2019,63105,Skerries, D.M.R. Northern Division,5
2019,62301,StoreStreet, D.M.R. North Central Division,554
2019,62301,StoreStreet, D.M.R. North Central Division,78
2019,62301,StoreStreet, D.M.R. North Central Division,3
2019,62301,StoreStreet, D.M.R. North Central Division,128
2019,62301,StoreStreet, D.M.R. North Central Division,202
2019,62301,StoreStreet, D.M.R. North Central Division,5065
2019,62301,StoreStreet, D.M.R. North Central Division,381
2019,62301,StoreStreet, D.M.R. North Central Division,677
2019,62301,StoreStreet, D.M.R. North Central Division,124
2019,62301,StoreStreet, D.M.R. North Central Division,401
2019,62301,StoreStreet, D.M.R. North Central Division,1764
2019,62301,StoreStreet, D.M.R. North Central Division,52
2019,64102,SundriveRoad, D.M.R. Southern Division,140
2019,64102,SundriveRoad, D.M.R. Southern Division,32
2019,64102,SundriveRoad, D.M.R. Southern Division,1
2019,64102,SundriveRoad, D.M.R. Southern Division,34
2019,64102,SundriveRoad, D.M.R. Southern Division,166
2019,64102,SundriveRoad, D.M.R. Southern Division,321
2019,64102,SundriveRoad, D.M.R. Southern Division,40
2019,64102,SundriveRoad, D.M.R. Southern Division,172
2019,64102,SundriveRoad, D.M.R. Southern Division,21
2019,64102,SundriveRoad, D.M.R. Southern Division,215
2019,64102,SundriveRoad, D.M.R. Southern Division,158
2019,64102,SundriveRoad, D.M.R. Southern Division,38
2019,63303,Swords, D.M.R. Northern Division,233
2019,63303,Swords, D.M.R. Northern Division,75
2019,63303,Swords, D.M.R. Northern Division,2
2019,63303,Swords, D.M.R. Northern Division,58
2019,63303,Swords, D.M.R. Northern Division,249
2019,63303,Swords, D.M.R. Northern Division,1068
2019,63303,Swords, D.M.R. Northern Division,99
2019,63303,Swords, D.M.R. Northern Division,136
2019,63303,Swords, D.M.R. Northern Division,25
2019,63303,Swords, D.M.R. Northern Division,334
2019,63303,Swords, D.M.R. Northern Division,239
2019,63303,Swords, D.M.R. Northern Division,221
2019,64202,Tallaght, D.M.R. Southern Division,434
2019,64202,Tallaght, D.M.R. Southern Division,160
2019,64202,Tallaght, D.M.R. Southern Division,3
2019,64202,Tallaght, D.M.R. Southern Division,119
2019,64202,Tallaght, D.M.R. Southern Division,457
2019,64202,Tallaght, D.M.R. Southern Division,1994
2019,64202,Tallaght, D.M.R. Southern Division,200
2019,64202,Tallaght, D.M.R. Southern Division,511
2019,64202,Tallaght, D.M.R. Southern Division,87
2019,64202,Tallaght, D.M.R. Southern Division,803
