CODE,ADDRESS,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,AMV_price,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,longitude,latitude,LONGITUDE,LATITUDE
3689196,"18 Primrose Cl, Jigginstown, Naas, Co. Kildare, W91 VC4V, Ireland",standard,2022-01-28,250000,2,2,Terrace,,Buy,1,1367.0,Siobhan Lynam,Lynam Auctioneers & Estate Agents,BRANDED_AGENT,12.0,True,False,False,E2,-6.230851,53.29799,-6.684300599999999,53.2121625
3689195,"Ballymore, Co. Westmeath, Ireland",standard,2022-01-28,95000,2,1,Detached,58.0,Buy,1,1223.0,William O'Connell,O'Connell Auctioneers,BRANDED_AGENT,13.0,False,False,False,D1,-8.649241,52.13731,-7.679746399999999,53.4909131
3689191,"Abbeyfeale West, Abbeyfeale, Co. Limerick, Ireland",standard,2022-01-30,150000,4,2,Terrace,,Buy,0,8420.0,Blue Property Sales,Blue Property Sales | Rentals,UNBRANDED_AGENT,25.0,False,False,False,C1,-9.052456,53.901001,-9.2970823,52.38618109999999
3270810,"Loghill, Co. Limerick, Ireland",standard,2022-01-25,160000,4,1,Detached,213.0,Buy,0,10947.0,Northside Sales 2,Ray Cooke Auctioneers Finglas,BRANDED_AGENT,14.0,False,False,False,C1,-6.260247,53.400903,-9.1925703,52.59546049999999
3688096,"23 Sunnyside Cottages, Lagavooren, Drogheda, Co. Louth, A92 NTY3, Ireland",standard,2022-01-28,235000,3,1,Terrace,,Buy,0,2909.0,Paul McElhinney,REA McElhinney,UNBRANDED_AGENT,12.0,False,False,False,C3,-7.6698641,55.1389673,-6.3439917,53.7113536
3685722,"Edelweiss, Talbot's Inch Village, The Sycamores, Friarsinch, Kilkenny, Ireland",standard,2022-01-30,275000,4,2,Semi-D,111.0,Buy,0,10105.0,Eoin Gorry,DNG Lucan,BRANDED_AGENT,10.0,False,True,False,D1,-6.341773,53.347435,-7.2597902,52.6662372
3689162,"Carrowreagh East, Co. Galway, Ireland",standard,2022-01-25,275000,5,2,Detached,,Buy,0,2838.0,John Rohan,Sherry FitzGerald John Rohan,BRANDED_AGENT,26.0,False,False,False,D1,-7.084384,52.245666,-8.771740399999999,53.3872778
3689158,"21 Plunkett Ave, Finglas West, Dublin, D11 N7Y5, Ireland",standard,2022-01-27,295000,3,2,Terrace,110.0,Buy,0,2534.0,Nora Meaney,Sherry FitzGerald McDermott,BRANDED_AGENT,18.0,False,False,False,G,-6.944798,52.845932,-6.308655099999999,53.39793539999999
3687615,"36 The Way, Castlefarm, Dunboyne, Co. Meath, Ireland",standard,2022-01-28,220000,2,2,Apartment,78.0,Buy,0,9923.0,Gregory Donnelly,Sherry FitzGerald Rathmines,BRANDED_AGENT,11.0,False,False,False,B3,-6.273056,53.337683,-6.481608700000001,53.4128997
3689142,"1 Old Church St, Abbeyfeale West, Abbeyfeale, Co. Limerick, V94 W1W8, Ireland",standard,2022-01-25,150000,3,2,Terrace,,Buy,0,8806.0,Richard Hoey,BidX1,BRANDED_AGENT,6.0,False,False,False,A1A2,-7.891049,52.567171,-9.3024275,52.3849903
3689141,"Bridge Street Centre, Bridge St, Moneyballytyrrell, Portlaoise, Co. Laois, Ireland",standard,2022-01-25,145000,2,1,Apartment,,Buy,0,366.0,Robert Forbes,Forbes Property,BRANDED_AGENT,8.0,False,False,False,C1,-6.164134,53.402734,-7.294617199999999,53.0339582
3689137,"41 Rathevan Cl, Ratheven, Portlaoise, Co. Laois, R32 X5F3, Ireland",standard,2022-01-26,165000,2,3,Townhouse,81.0,Buy,0,3201.0,Siobhain Tuckey,DNG Wall Tuckey,BRANDED_AGENT,25.0,False,False,False,C2,-6.269846,53.636427,-7.2712268,53.0492035
